id,uuid,object,like + comment,GROUP_CONCAT(DISTINCT categories.name),time
620334,5b8185f9-acb9-11eb-b311-0ae838defca7,video,142,"indie,jazz,r&b/soul,producer,singer,music lover,composer,lyricist",2021-05-04 09:16:07
817965,37ca668c-d65c-11eb-8f45-12d73b08236b,video,84,"indie,jazz,r&b/soul,producer,singer,music lover,composer,lyricist",2021-06-26 08:55:13
637995,908319ca-b04d-11eb-a2b5-128a130028af,video,55,"jazz,pop,r&b/soul,singer,songwriter,composer,pianist,lyricist",2021-05-08 22:34:35
644215,9cf8220b-b197-11eb-9789-128a130028af,shoutOut,54,"jazz,pop,r&b/soul,singer,songwriter,composer,pianist,lyricist",2021-05-10 13:57:10
108672,4081b79c-4250-11eb-a59f-1254437355c5,video,53,"hip hop,pop,r&b/soul,producer,mastering engineer,studio mix engineer",2020-12-19 23:16:41
425532,3e2b5d95-801f-11eb-82dc-1254437355c5,shoutOut,53,"hip hop,r&b/soul,trap,dj,producer,songwriter,studio mix engineer,rapper",2021-03-08 15:02:04
720868,214d98ba-c068-11eb-814d-1254437355c5,shoutOut,48,"indie,jazz,r&b/soul,producer,singer,music lover,composer,lyricist",2021-05-29 10:25:03
323364,4a8d39ec-6b49-11eb-b71a-0ae838defca7,shoutOut,47,"hip hop,pop,r&b/soul,producer,mastering engineer,studio mix engineer",2021-02-10 02:40:09
685492,1bbde8d6-b9bb-11eb-b4b9-1254437355c5,track,44,"hip hop,r&b/soul,alternative pop,singer,songwriter,artist",2021-05-20 22:31:24
297521,711a0385-64d0-11eb-b6cb-0a0d7a10423a,shoutOut,41,"hip hop,edm,lofi,music lover",2021-02-01 20:59:58
655736,954c9931-b3d3-11eb-a1e1-0a1200300037,video,41,"indie,pop,rock,guitarist,singer,songwriter,music teacher",2021-05-13 10:11:29
598627,bceba082-a83f-11eb-b27a-1254437355c5,video,39,"hip hop,metal,psychedelic,rapper",2021-04-28 16:35:27
